Unnamed: 0,tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
0.0,0.0138888888888888,0.5,0.3333333333333333,0.1169354838709677,0.0026670447195172,0.0091309135720466,0.0,0.0016431837614781,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1.0,0.4722222222222222,0.5,0.0,0.3901209677419355,0.438544260242131,0.3853235330961932,0.0,0.2781813450314138,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2.0,0.0277777777777777,0.5,0.0,0.3588709677419355,0.0112529793813519,0.0330823552032442,0.0,0.0132867392839882,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3.0,0.625,0.5,0.6666666666666666,0.2424395161290322,0.4270254624501959,0.3753820024063603,0.0,0.2709320049072456,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
4.0,0.0277777777777777,1.0,0.3333333333333333,0.5287298387096775,0.0279197937249133,0.0,0.0,0.0197553812409383,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,0.1111111111111111,1.0,0.3333333333333333,0.8205645161290324,0.1084096084494811,0.0,0.172583938791071,0.1192163277445258,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
6.0,0.3055555555555555,1.0,1.0,0.7142137096774193,0.2684535570933642,0.2385233221755128,0.2050183609258463,0.2870887393583405,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
7.0,0.1388888888888889,0.5,0.0,0.1159274193548386,0.0990882428516998,0.0923491727772485,0.0,0.0420982192646566,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8.0,0.3888888888888888,1.0,0.3333333333333333,0.8724798387096774,0.3519524362257329,0.0,0.533921700949159,0.4501654336592439,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
10.0,0.1805555555555555,0.5,0.0,0.3195564516129032,0.1308919389090221,0.1197979939229207,0.0,0.0845607643406818,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
11.0,0.2222222222222222,0.0,1.0,0.0070564516129032,0.2237393561878095,0.0,0.0,0.0458009591434625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
13.0,0.6805555555555555,1.0,0.6666666666666666,0.8613911290322581,0.5870835880759767,0.5135233950072395,0.8827792920307446,0.7461243912413101,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1
14.0,0.3472222222222222,1.0,0.3333333333333333,0.8795362903225806,0.2640880593104163,0.2347555912916561,0.4035597534515159,0.3966318450500019,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
