tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
0.5101493700166464,0.5,0.3742206370955217,0.3699533285033177,0.3565582962831675,0.3145638938043006,0.5390965180955282,0.3028087899577641,0.9386690443567174,0.0,0.9386690443567174,0.0,0.0,0.0,0.9386690443567174,0.0613309556432826,1.0,0.0613309556432826,0.9386690443567174,0.9386690443567174,1.0,0.0,0.0,1
0.6388888888888888,0.5,0.6666666666666666,0.4284274193548387,0.4022842662082775,0.3540286141287724,0.608597645945259,0.4274657050447972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0
0.5290917902649056,0.9742514716090972,0.9485029432181948,0.8411114989890467,0.4460301367789299,0.3917843697802952,0.6711534704043555,0.5675845010472779,0.0,0.0,0.0,0.0,1.0,0.9485029432181948,0.0,1.0,0.9485029432181948,0.0,0.9485029432181948,0.9485029432181948,1.0,0.0,0.0,1
0.625,0.5,0.3333333333333333,0.5221774193548386,0.4262504541064513,0.3747131158286648,0.3220778082575963,0.4526041860292204,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
0.6805555555555555,0.5,0.6666666666666666,0.2258064516129032,0.4813705597249664,0.4222856343789056,0.3629678968633053,0.3051340198520391,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.4444444444444444,1.0,0.3333333333333333,0.8734879032258064,0.3880446693071295,0.0,0.5874707495990394,0.4955946317706978,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
0.2083333333333333,1.0,0.3333333333333333,0.6532258064516129,0.2150736760027999,0.0,0.0,0.1843191196698761,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.0740426671875643,0.716553601875232,0.3333333333333333,0.2886073729431627,0.0875844802948468,0.0,0.0,0.0532167488295851,0.4331072037504639,0.0,0.0,0.0,0.4331072037504639,0.4331072037504639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0677906970585014,0.8898837264734866,0.2966279088244955,0.6372967499842617,0.0649125668016887,0.0,0.0405006633734745,0.046841206258558,1.0,0.8898837264734866,0.1101162735265134,0.1101162735265134,1.0,0.8898837264734866,0.0,0.0,0.8898837264734866,0.0,0.8898837264734866,0.0,1.0,0.0,0.0,1
0.7222222222222222,0.5,0.3333333333333333,0.4153225806451613,0.7112621353488274,0.0,0.5335097851903138,0.4498159782891557,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.1805555555555555,0.5,0.0,0.2595766129032258,0.2257772973356134,0.0,0.0,0.0952526116212498,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.9027777777777776,0.0,1.0,0.0161290322580645,0.8902347176565447,0.0,0.0,0.1856202832819063,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
