,tenure,InternetService,PaymentMethod,MonthlyCharges,Cost/service,SecurityCost,StreamingCost,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Month-to-month,Contract_One year,Contract_Two year,Churn
0,-1.1821641765000674,-0.2364648871109891,-0.2989666660167701,-1.0899619675763805,-1.202785353040813,-0.5992468309368065,-0.644842581008143,-0.9828089878129481,1.007460259398955,-0.43115824925128815,1.148803384527109,-0.6352234031660235,-2.8016117505103932,-0.7215803075553919,-0.5557569586045366,1.5794578598527937,-0.6284190177170514,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,0
1,0.3924856640972978,-0.2364648871109891,-1.2464413249136006,-0.14084453754737802,0.49537019603091376,0.871133371842133,-0.644842581008143,0.1542915165874723,-0.9925949839416934,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,0.35693739498980254,-0.7215803075553919,1.7993476906000851,-0.6331286357289713,1.5912949350782613,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,-1.317929981436253,1.988460433450334,-0.4421273290819774,0
2,-1.1344475146637836,-0.2364648871109891,-1.2464413249136006,-0.24941516607468095,-1.1693349865827263,-0.5056306253688295,-0.644842581008143,-0.9349317154796848,-0.9925949839416934,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,0.35693739498980254,-0.7215803075553919,1.7993476906000851,1.5794578598527937,-0.6284190177170514,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,1
3,0.9173689442964196,-0.2364648871109891,0.6485079928800603,-0.653928314297374,0.45049354340396575,0.8322760706804567,-0.644842581008143,0.12448287001982761,-0.9925949839416934,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,-2.8016117505103932,-0.7215803075553919,1.7993476906000851,-0.6331286357289713,1.5912949350782613,1.7181198778178246,-0.7059425237752781,-0.7107828825510911,-1.317929981436253,1.988460433450334,-0.4421273290819774,0
4,-1.1344475146637836,1.0501822927576288,-0.2989666660167701,0.340718734146304,-1.1044019222817345,-0.6349357675422231,-0.644842581008143,-0.9083332308500942,1.007460259398955,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,0.35693739498980254,-0.7215803075553919,-0.5557569586045366,-0.6331286357289713,-0.6284190177170514,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,1
5,-0.8481475436460808,1.0501822927576288,-0.2989666660167701,1.3546283134577293,-0.7908176819254301,-0.6349357675422231,0.004334513611352081,-0.4993585999420087,1.007460259398955,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,0.35693739498980254,1.3858471323695811,-0.5557569586045366,-0.6331286357289713,1.5912949350782613,-0.5820315642177976,1.4165459174383566,1.4068993845362057,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,1
6,-0.18011427793810772,1.0501822927576288,1.595982651776891,0.9851379486309401,-0.1672945662262104,0.2973525141140448,0.1263370827647051,0.1909179356521271,-0.9925949839416934,-0.43115824925128815,-0.870470973073985,1.5742493034984064,0.35693739498980254,1.3858471323695811,-0.5557569586045366,1.5794578598527937,-0.6284190177170514,-0.5820315642177976,1.4165459174383566,-0.7107828825510911,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,0
7,-0.7527142199735132,-0.2364648871109891,-1.2464413249136006,-1.093464245915971,-0.8271332500512374,-0.2739813299819132,-0.644842581008143,-0.8164614534800713,1.007460259398955,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,-2.8016117505103932,-0.7215803075553919,1.7993476906000851,-0.6331286357289713,-0.6284190177170514,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,0
8,0.10618569307959505,1.0501822927576288,-0.2989666660167701,1.5349956479466353,0.15801283661633372,-0.6349357675422231,1.363511968114052,0.8614749050553595,1.007460259398955,-0.43115824925128815,1.148803384527109,-0.6352234031660235,0.35693739498980254,1.3858471323695811,-0.5557569586045366,-0.6331286357289713,1.5912949350782613,1.7181198778178246,1.4165459174383566,1.4068993845362057,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,1
10,-0.6095642344646619,-0.2364648871109891,-1.2464413249136006,-0.3860040213187071,-0.7032276614648332,-0.16669532513346946,-0.644842581008143,-0.6418592170207698,-0.9925949839416934,-0.43115824925128815,1.148803384527109,1.5742493034984064,0.35693739498980254,-0.7215803075553919,1.7993476906000851,-0.6331286357289713,-0.6284190177170514,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,0.7587656507443746,-0.5029016334334707,-0.4421273290819774,0
11,-0.46641424895581046,-1.523112066979607,1.595982651776891,-1.4717103065917356,-0.3414988276236184,-0.6349357675422231,-0.644842581008143,-0.8012361140024435,-0.9925949839416934,-0.43115824925128815,-0.870470973073985,-0.6352234031660235,0.35693739498980254,-0.7215803075553919,-0.5557569586045366,-0.6331286357289713,-0.6284190177170514,-0.5820315642177976,-0.7059425237752781,-0.7107828825510911,-1.317929981436253,-0.5029016334334707,2.2617918735681326,0
